Degree Name,Details,Asian,Black,Latinx,White,Other,Total
AA , Associate of Arts,84,383,801,191,56,1515
AA ,Associate of Engineering Science,12,4,30,19,1,66
AA , Associate of Fine Arts,-,1,15,4,2,22
AA , Associate of General Studies,47,155,268,51,22,543
AA , Associate of Science,59,153,324,89,18,643
AAS ,Associate of Applied Science,52,194,243,111,13,613
AC ,Advanced Certificate,28,180,314,171,18,711
BC , Basic Certificate,79,763,1040,414,76,2372
GECC ,General Education Core Curriculum,67,293,681,157,39,1237
Grand Total,Grand Total,428,2126,3716,1207,245,7722
