sector,october,november,december,january,february,march,april,may,june,july,august,september,yearly_total,fy
Miami,169,138,138,182,168,139,15,38,60,95,76,84,1302,2020
New Orleans,98,128,99,86,99,35,0,7,2,9,3,6,572,2020
Ramey,26,32,48,30,15,41,0,24,45,31,49,15,356,2020
Blaine,32,24,36,25,27,16,6,13,5,15,11,17,227,2020
Buffalo,25,11,11,47,13,10,3,6,39,42,59,36,302,2020
Detroit,95,94,40,94,88,38,1,1,2,0,2,0,455,2020
Grand Forks,52,32,35,24,37,14,0,1,8,7,9,8,227,2020
Havre,3,20,1,1,0,0,0,1,1,2,1,0,30,2020
Houlton,6,17,12,22,19,6,2,6,0,2,2,10,104,2020
Spokane,43,40,23,25,23,26,3,9,12,11,6,15,236,2020
Swanton,89,51,75,62,49,53,9,28,28,55,25,50,574,2020
Big Bend,653,526,543,604,562,675,507,628,660,746,1120,1404,8628,2020
Del Rio,3198,3119,3003,2348,2622,2619,2027,2289,3471,4163,5129,6354,40342,2020
El Centro,1998,1911,1755,1699,2020,2063,1258,1880,2773,3569,3507,3059,27492,2020
El Paso,5234,5086,5099,4394,3366,3414,1759,2617,3876,5091,6560,7900,54396,2020
Laredo,3811,3354,3125,3618,3946,4024,1991,3355,4040,5445,7242,7474,51425,2020
Rio Grande Valley,9740,8557,7825,6479,6703,7208,3459,3698,5414,7571,10243,13309,90206,2020
San Diego,3640,3679,4097,4209,4672,4704,2268,3311,4951,5556,6032,6163,53282,2020
Tucson,6335,6514,6647,5158,5184,5106,2615,3070,4703,5605,6766,8373,66076,2020
Yuma,793,778,759,696,1002,576,298,745,948,790,684,735,8804,2020
