ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory.1,Aircraft Operator.1,Make Model Name.1,Aircraft Zone.1,Crew Size.1,Operating Under FAR Part.1,Flight Plan.1,Mission.1,Nav In Use.1,Flight Phase.1,Route In Use.1,Airspace.1,Maintenance Status.Maintenance Deferred.1,Maintenance Status.Records Complete.1,Maintenance Status.Released For Service.1,Maintenance Status.Required / Correct Doc On Board.1,Maintenance Status.Maintenance Type.1,Maintenance Status.Maintenance Items Involved.1,Cabin Lighting.1,Number Of Seats.Number.1,Passengers On Board.Number.1,Crew Size Flight Attendant.Number Of Crew.1,Airspace Authorization Provider (UAS).1,Operating Under Waivers / Exemptions / Authorizations (UAS).1,Waivers / Exemptions / Authorizations (UAS).1,Airworthiness Certification (UAS).1,Weight Category (UAS).1,Configuration (UAS).1,Flight Operated As (UAS).1,Flight Operated with Visual Observer (UAS).1,Control Mode (UAS).1,Flying In / Near / Over (UAS).1,Passenger Capable (UAS).1,Type (UAS).1,Number of UAS Being Controlled (UAS).1,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person.1,Location In Aircraft.1,Reporter Organization.1,Function.1,Qualification.1,Experience.1,Cabin Activity.1,Human Factors.1,Communication Breakdown.1,UAS Communication Breakdown.1,ASRS Report Number.Accession Number.1,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative.1,Callback.1,Synopsis,Unnamed: 125,Dirty_Airport_Name
1732804,202003,1801-2400,FDK.Airport,MD,,,0.0,,,VMC,,,Night,,,Ground FDK,Personal,Skyhawk 172/Cutlass 172,,,Part 91,None,Personal,,Taxi,None,Class D FDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground FDK,Personal,Skyhawk 172/Cutlass 172,,,Part 91,,Personal,,Taxi,,Class D FDK,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 26; Flight Crew Total 105; Flight Crew Type 105,,Distraction; Situational Awareness; Confusion,,,1732804,,,,,,,,,,,,Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 5,,Person Flight Crew,Taxi,Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification,Procedure; Human Factors; Airport,Procedure,After receiving a clearance from Ground Control to taxi via taxiways C; B; and A; I began to taxi. While on taxiway C; I heard ground clear another Skyhawk to taxi to the runway via taxiways E and A. I continued to taxi while looking for the other traffic. There is a downgrade on taxiway B that takes it below a hill between taxiways B and A as you near the intersection of B and A. Taxiway B clears that hill just before the intersection. After looking to my right towards taxiway A and seeing no one; I continued to taxi towards the intersection and looked left in the direction I was to turn. As I was turning onto taxiway A; I saw the other Skyhawk in my peripheral vision and hit the brakes to stop at the same time as the other pilot. Both planes were in the intersection stopped a few feet away from each other. The other pilot called Ground to advise of the near collision and the controller apologized stating that they had lost sight of us. I radioed the other pilot and asked if everyone was okay. After determining that no collision had occurred and there were no injuries; I agreed to continue my turn as I was in front of the other plane. We both continued to the runup area without incident and continued with our flights. While the terrain and darkness were contributing factors; I believe that the primary cause was a failure to approach a known hotspot with due caution. In the future I will pause as I approach this intersection and use an extra second to check for traffic before continuing.,,,,A General Aviation aircraft following taxi instructions from ATC had to suddenly brake to avoid another aircraft taxiing into the same intersection.,,
1737507,202003,1201-1800,W29.Airport,MD,,,800.0,,,,5,,Daylight,,,,Personal,Any Unknown or Unlisted Aircraft Manufacturer,,1.0,Part 91,None,Training,,Other Flying on base in pattern,Direct,Class G W29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Beechcraft Twin Piston Undifferentiated or Other Model,,1.0,Part 91,None,Training,,Final Approach,,Class G W29,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 15; Flight Crew Total 33; Flight Crew Type 33,,,,,1737507,,,,,,,,,,,,Conflict NMAC,Horizontal 200; Vertical 50,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,When I was flying base to land on Runway 29; a Baron that had been flying behind me for the last leg of the pattern; flew diagonal and cut infront of me on base. In reaction I circled for a minute or two while he landed and cleared the runway. Afterwards; I rejoined the pattern and landed normally.,,,,Student Pilot reported an NMAC event in landing pattern during base turn to final.,,
1739000,202003,0601-1200,BALTIMORE-WASHINGTON INTL,MD,,,0.0,,,,,,,,,Tower BWI,Air Carrier,B737-800,,2.0,Part 121,IFR,Passenger,GPS; FMS Or FMC,Takeoff / Launch,Direct,,,,,,,,,,,,,,,,,,,,,,,,,Position Computing System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Troubleshooting; Confusion; Workload,,,1739000,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Workload; Other / Unknown; Confusion,,,1739003.0,Aircraft Equipment Problem Less Severe,,,Person Flight Crew,Taxi,Flight Crew Rejected Takeoff; General Maintenance Action,Aircraft; Airport,Ambiguous,We were cleared for takeoff on Runway 15R at BWI. I was the Pilot Flying. When we lined up on the runway the data in my [display] did not look accurate. I elected to vacate the runway. We assessed the information and were re-cleared for take off with no further issue.,,Prior to pushing up the throttles up for takeoff; the Captain stated that their [display] was not correct. I told Tower we were going to taxi clear as there was an aircraft on final. We looked down and the Flight Director was not displaying guidance even though the switches were on and the FMS correctly loaded.At the gate we had some kind of electrical MEL (I can't recall what). Also the IRUs were not aligning like normal. We called Maintenance who sent contract BWI Maintenance who told us that the gates at BWI had a problem with acquiring the GPS signal (this was strange as the terminal was north of the plane so that the plane had a clear path towards the equator). We discussed and the Captain decided we would push into the alley to try and get a signal. Again that didn't work and we discussed with Maintenance on the ops frequency who told us the closer we got to the runway it would work. We decided to taxi towards the runway. On the taxi out GPS 2 acquired a signal; but was intermittent. We pulled into the de-ice area adjacent to Taxiway P by Runway 15R. Finally we got both GPS signals to acquire which was required for our RNAV route and Required RNP FMS message.If the BWI gates historically have problems with acquiring the GPS signal; then a note about that (and if associated the Flight Directors not providing guidance) should be added to the company pages in the Jeppesen FD Pro App. If the failure was associated with the MEL; then a note about it and the flight directors not providing guidance should be added to the associated MEL in the B737 NG Minimum Equipment List / Configuration Deviation List.,,B737 pilot crew reported the IRU's would not align; resulting in a rejected takeoff.,,BALTIMORE-WASHINGTON INTL
1747580,202006,1201-1800,BWI - Baltimore,MD,,,,1300.0,,,10,,Daylight,12000.0,,TRACON PCT,Personal,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,1.0,Part 91,VFR,Personal,,Cruise,VFR Route,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV - Unpiloted Aerial Vehicle,,1.0,Other 107,,,,,,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 13; Flight Crew Total 689; Flight Crew Type 466,,Distraction,,,1747580,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 700; Vertical 1000,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Environment - Non Weather Related,Environment - Non Weather Related,Flying up the Potomac River I observed a drone operating in my flight path just west of the key bridge.  To avoid the conflict I deviated to the south and may have encroached on the BWI class Bravo airspace.,,,,Pilot reported an airborne conflict with a UAV causing a possible airspace violation.,,BWI - Baltimore
1753096,202007,0601-1200,BWI - Baltimore,MD,,,0.0,,,VMC,,,Daylight,,,Tower BWI,Air Carrier,B767-300 and 300 ER,,2.0,Part 121,IFR,Cargo / Freight / Delivery,FMS Or FMC,Takeoff / Launch,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Electrical Power,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,1753096,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,1753097.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,Around 100 knots on takeoff roll received multiple caution msgs; and; my PFD and MFD went dark for a few seconds. Captain decided to reject takeoff. It turns out the right Gen went out but also took a T.R with it. Bus ties were not working as they should. Ran DDG off the runway and taxied back to the gate. Mx had problems resetting the bus ties. Mx finally got everything everything straightened out and we left for ZZZ without further incident.,,Slightly above 80 kts we got some screens flickering; then load shedding; multiple EICAS messages; which included R Gen Off. Since it appeared worse than a Gen Off indication I elected to abort the takeoff at about 100 kts. We informed tower and cleared the runway at G taxiway. Stopped the aircraft upon clearing the runway to run checklists; evaluate the situation; and see how hot the brakes will get. Upon further inspection we also had a Transformer Rectifier Status message. I elected to run the R Gen Off QRH but that was unsuccessful especially since the status message. I told the First Officer to run his after takeoff flow. We then contacted our companies Dispatch via Satcom. Told them the situation and that we would do a block turn back to give the plane back to maintenance. Me and the First Officer monitored the brake temperatures as we seen a high of 8 on the btms. The brakes were already cooling off really good and we didn't anticipate any problems so we elected to slowly taxi back into the blocks. When the First Officer did a walk around he didn't notice any defects to the tires; or brakes; etc. Maintenance had to do an engine run up to disconnect the Electric drive as there appeared no way to get that generator back online. When they did that they got multiple load shedding and the Lower Eicas went blank. The Apu generator was operating so none of that should have been happening and it appeared to be a bus tie issue not closing properly. They did a couple engine run ups and eventually got the bus ties to work correctly; the Gen Drive to disconnect normally; and got the Transformer Rectifier Eicas to clear. We later operated the flight with 1 engine generator and the Apu on the whole flight per the DDG. No other issues noted.,,Flight Crew reported a rejected take off caused by electrical system failures.,,BWI - Baltimore
1756531,202008,1801-2400,Baltimore/Washington,MD,,,0.0,,,,,,Night,,,,Air Carrier,Commercial Fixed Wing,,2.0,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Other / Unknown,,,1756531,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,,,,Company Policy; Equipment / Tooling; Human Factors,Equipment / Tooling,While being marshalled into BWI Gate X after sunset; the Ramp Agents were blatantly disregarding Company and FAA Safety procedures and standard operating procedures. The Marshaler had one lit wand and one unlit wand. The Right Wing Walker had two unlit wands. This is an ongoing issue in BWI. Ramp Agents have become lackadaisical and lazy about being disciplined in following the everyday; every flight; 'breaded and butter;' 'back to basics;' standard operating procedures. Nothing has changed or improved lately.1. Ramp Supervisors need to ensure all lighted wands are operating before sunset each night.2. Ramp Agents need to ensure the lighted wands are operational before marshalling an aircraft into the Safety Zone. Do not Marshall the aircraft into the Safety Zone until a FOD (Foriegn Object Debris) walk down has been completed; Safety Zone is clear; and each Ramp Agent has two operating lighted wands.3. Leadership including the BWI Station Manager and Supervisors needs to ensure consistent compliance with all Safety procedures (using lighted wands at night).,,,,Air carrier flight crew reported that ramp agents are not following Standard Operating Procedures.,,Baltimore/Washington
1757045,202008,,Baltimore/Washington,MD,,,,7000.0,,VMC,30,,Daylight,40000.0,,TRACON PCT,Corporate,Falcon 20FJF/20C/20D/20E/20F,,2.0,Part 91,IFR,Passenger,GPS; FMS Or FMC,Climb,SID TERPS SEVEN,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON PCT,Air Carrier,B737 Undifferentiated or Other Model,,2.0,Part 121,IFR,,FMS Or FMC; GPS,Climb,SID TERPS SEVEN,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 35; Flight Crew Total 7500; Flight Crew Type 1000,,Situational Awareness,,,1757045,,,,,,,,,,,,Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related; Procedure,Ambiguous,Wake turbulence encounter with resulting 40 degrees bank before correction. Plane ahead was Boeing 737 on same SID.,,,,Captain reported encountering wake turbulence on departure out of BWI in trail of a B737.,,Baltimore/Washington
1758206,202008,1801-2400,Baltimore Intl,MD,,,0.0,,,,,,Night,,,Tower BWI,Air Carrier,B737 Next Generation Undifferentiated,,2.0,Part 121,IFR,Passenger,,Parked,,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Confusion,,,1758206,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General None Reported / Taken,Chart Or Publication,Chart Or Publication,Loaded PALEO 3 Departure out of BWI.  FMS showed an extra point on the departure that was not on the SID.  AGARD appeared in the FMS; but not on Jepps plates.,,,,B737 NG Captain reported the FMS showed an extra point on the departure that was not on the SID.,,Baltimore Intl
1760914,202009,0601-1200,ESN.Tower,MD,,,,,,IMC,Rain; 3,,Dawn,400.0,,Tower ESN,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,2.0,Part 91,IFR,Training,,Initial Approach,,Class D ESN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Instructor,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,,,Training / Qualification; Workload; Communication Breakdown; Confusion; Distraction; Situational Awareness,Party1 Flight Crew; Party2 ATC,,1760914,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,General None Reported / Taken,Procedure; Human Factors; Environment - Non Weather Related; Chart Or Publication,Human Factors,I regularly do training in the area; and when training IFR students; especially in actual IFR conditions; it is difficult to work with towers which do not follow prescribed FAA ATC procedures and phraseology. It may seem small; but one; this ESN Tower; regularly inappropriately advertise their approach as a non-existent approach. Their ATIS will advertise (and Potomac will sometimes also call it) as a 'GPS Runway 4' or other 'GPS' approach. In fact; ESN has no GPS approaches; only RNAV approaches. These are indeed listed as 'RNAV (GPS)'; however consulting both the AIM and ATC 7110.65 they clearly state that anything in parenthesis is not part of the approach name. A 'GPS' approach is entirely different from an 'RNAV' approach. In fact you see this by looking at the nearby W75 airport; which has an actual 'GPS' approach. How does this create a safety issue? Pilots are taught to find out the approach in use; they look up the IAP and brief it. Approaches are listed alphabetically in the books and in most FMS systems. When ATC tells you the approach in use is 'GPS Runway 4;' the pilot looks for exactly that; GPS Runway 4. An RNAV approach is not listed as GPS though; it's listed as RNAV; because it's an RNAV approach; not a GPS approach. The extra heads-down time required to figure this out; especially at unfamiliar airports; can cause an unnecessary safety risk; as the pilot has to spend more time diverting attention from flying and more time trying to ascertain what ATC means.This seems like a fairly simple thing that can be corrected simply with a memo to ATC reminding them that an approach listed as RNAV (GPS) is an RNAV approach; not a GPS approach; and should be referred to using the correct terms. Although I've encountered this issue at many airports; ESN is one of the worst offenders I've ever come across; as they rarely use the proper term. I shouldn't have to brief students that 'this tower does things wrong so expect this but do that'. ATC should perform their duties correctly.,,,,Pilot reported ESN Tower advertises a GPS approach when the airport has RNAV (GPS) approaches.  Pilot reported this makes it difficult to look up the approach.,,
1764230,202009,1201-1800,Baltimore/Washington Intl,MD,,,0.0,,,,,,Daylight,,,Ground BWI,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2.0,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Training / Qualification,,,1764230,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,Taxi,,Airport; Company Policy; Human Factors,Company Policy,FOD (Foreign Object Debris) on the ground in the BWI back alley gates has been a problem for months with no signs of improvement. BWI Ground Operations does not have an effective FOD Awareness Program. We sat at the gate for nearly 90 minutes preparing for our flight. During the delay while waiting 50 minutes for five bags from Flight #XXXX (which never arrived); the ramp personnel had plenty of time to pick up the FOD in and around the Safety Zone. Excessive FOD was present before; during; and after the push off BWI Gate XX. No effort was made to remove the FOD. BWI Ramp Personnel walked by; stepped on; and ignored FOD all over the flight line. As we were being pushed back I asked the Ramp Crew to pick up FOD (papers; gloves; concrete gravel stones; plastic strapping material; etc.) to avoid ingesting FOD in the engines while we were starting engines. Because of the confined space in the back alley; the lead aircraft is more likely to blow FOD into the engines of the second aircraft. We called BWI Ground Control to remove FOD from the area at the top of the back alley where FOD had accumulated in the vicinity of the electric light control building. Also; the concrete along the vehicle road adjacent to the black storm drain grating is breaking up between BWI Gates XY and XZ. Chunks of concrete; stones; and gravel litter the ramp in this vicinity. The ramp looks as if it has been breaking up for weeks; but nobody has made the effort to remove the concrete FOD until BWI airport can make repairs.The BWI Station Manager needs to take responsibility for the FOD Awareness Program.  At this time; there is no evidence that BWI has an effective FOD Awareness Program.  Leadership for an effective FOD Awareness Program starts from the top.  Leaders need to train all employees to participate in the FOD Awareness Program on a daily basis and enforce compliance with the program.  The BWI FOD Awareness Program exists; at best; as a 'lip service' program. Bringing this issue to the attention of leadership falls on deaf ears. My impression is that BWI leadership; to the highest leadership levels; does not care to address or fix this ongoing problem. We need to collectively protect our engines from unnecessary damage resulting from FOD. BWI Airport Operations needs to repair the concrete breaking up near the vehicle road adjacent to the black storm drain grating between BWI Gates XY and XZ. In the meantime; Company BWI Ground Operations needs to take responsibility for removing the concrete debris. I immediately notified BWI OPS by radio of the FOD hazard. I am not sure of what action has been taken to remedy the safety concern.,,,,Flight Crew taxiing aircraft encounter excessive Foreign Object Debris (FOD) in ramp area.,,Baltimore/Washington Intl
